Building,UWG,Location Summary,,,,,,,,,,,,,,,,,
,,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks
BLD1PST,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,4.09,5.84,5.84,4.09,3.35,4.09,4.09,3.35,3.35,2.96,2.96,2.96,2.96
BLD1PST,SHGC,,SHGC,0.25,0.25,0.25,0.26,0.44,0.25,0.39,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.49,0.62
BLD1PST,,,Visible transmittance,0.11,0.11,0.11,0.13,0.27,0.11,0.25,0.27,0.23,0.25,0.31,0.31,0.31,0.31,0.41,0.54
BLD1PST,,,Foundation,,,,,,,,,,,,,,,,
BLD1PST,,,Foundation Type,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor
BLD1PST,,,Construction,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade
BLD1PST,,,R-value (m2·K / W),0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
BLD1PST,,HVAC,,,,,,,,,,,,,,,,,
BLD1PST,,,HVAC Sizing,,,,,,,,,,,,,,,,
BLD1PST,HVAC,,Air Conditioning (kW),119.74,106.52,106.51,107.40,107.42,104.22,68.73,98.12,90.77,77.39,97.47,85.17,94.69,69.38,89.33,56.64
BLD1PST,,,PSZ-AC_1:1_COOLC DXCOIL,93.47,84.64,84.15,85.05,87.80,83.00,57.53,78.25,72.97,64.32,77.84,69.32,75.66,55.63,72.00,45.06
